"sentiment","text"
"Negative","Divonis Gelapkan Pajak, Lionel Messi Semua Diurus Ayah Saya"
"Positive","Allardyce Latih Timnas Inggris, Begini Kata Rooney"
"Positive","Diafra Sakho Ingin Pergi, West Ham Ogah Melepas"
"Positive","Ini Manfaat Manchester United Mendapatkan Zlatan Ibrahimovic"
"Negative","Messi Bersalah Gelapkan Pajak, Divonis 21 Bulan Penjara"
"Positive","Ini Kata Mourinho soal Posisi Rooney di MU"
"Positive","Allardyce Lupakan Potensi Timnas, Saatnya Bicara Realitas"
"Positive","Debutan Tembus Perempat Final, Pelatih Islandia Prestasi"
"Positive","Portugal Juara Piala Eropa 2016 Setelah Tekuk Prancis 1-0"
"Positive","Ridwan Kamil Minta Persib Ganti Kerusakan di GBLA"
"Positive","Siapa Gabriel Jesus, Penyerang Muda Incaran Barcelona"
"Positive","Pelatih Senang Lihat Fisik Pemain Seleksi Timnas U-19"
"Negative","Pelatih PSM Tuding Ada Mafia Bola, Apakah Dia Punya Bukti"
"Positive","Jamu Madura United, Persegres Waspadai Pablo Rodrigues"
"Positive","Berlaga di Kandang Persib, Begini Strategi Persija"
"Negative","Mourinho Belum Puas dengan Skuad MU, Kejar 2 Pemain Ini"
"Positive","Griezmann Terpilih Jadi Pemain Terbaik di Piala Eropa 2016"
"Positive","Pirlo, Kaka, Vila, dan Drogba Hadapi Arsenal pada 28 Juli"
"Positive","Guardiola Terus Rombak Man City, 11 Pemain Siap Dilego"
"Negative","Alami Cedera, Enam Pemain Persis Absen Lawan Persibas"
"Negative","Seleksi Perdana Timnas U19, Empat Pemain Tak Hadir"
"Negative","Meski Gagal Antar Polandia ke Semifinal, Lewandowski Tuai Pujian"
"Negative","Jerman Yakin Bisa Akhiri Nasib Sial Saat Hadapi Italia"
"Positive","Ini Rencana Penyambutan Meriah Timnas Wales di Cardiff"
"Negative","90 Menit Pertama, Portugal Gagal Tundukkan Polandia"
"Positive","Riyad Mahrez Cetak Gol Indah, yang Terakhir buat Leicester"
"Positive","Tiga Pilarnya Absen, Gaya Main Jerman Diprediksi Tak Berubah"
"Positive","Jika Real Madrid tanpa Ronaldo, Ini Pendapat Raul"
"Positive","Menang Adu Penalti, Portugal Melaju ke Semifinal Euro"
"Positive","Target Tiga Poin, Pusamania Borneo Jaga Ketat Amrizal"
"Positive","Conte Siap Jadikan Hazard seperti Ronaldo atau Messi"
"Negative","Martin Caceres Dilepas Juventus, Dilirik AS Roma"
"Positive","Juventus Resmi Dapatkan Penyerang Muda Kroasia Marko Pjaca"
"Negative","Bersinar di Euro, Liverpool Justru Lepas Allen ke Stoke"
"Negative","Lawan Portugal, Wales Kehilangan Aaron Ramsey, Ini Dampaknya"
"Positive","AS Roma Lepas Adem Ljajic ke Torino"
"Positive","Mourinho Klaim Pemain Muda yang Dibawanya Sukses"
"Positive","Juara di Myanmar, Klub Ini Jadi Kerangka Timnas Futsal Putri"
"Negative","Masih Cedera, Ronaldo Bertekad Kembali dengan Lebih Kuat"
"Positive","Griezmann Mantap di Puncak Daftar Pencetak Gol Piala Eropa"
"Negative","Gagal Menangi Piala Eropa, Begini Komentar Deschamps"
"Positive","Uji Coba Pramusim, Juventus Tekuk Tottenham Hotspur"
"Negative","Arsenal Kehilangan Alexis Sanchez pada Laga Awal Musim"
"Positive","Bek PSG, Lucas Digne, Resmi Bergabung dengan Barcelona"
"Negative","Wales Didepak Portugal, Bale Ronaldo Melakukannya Lagi"
"Positive","Morgan De Sanctis Dikontrak AS Monaco Selama Semusim"
"Positive","Bek Belgia, Thomas Meunier, Jadi Rekrutan Ketiga PSG"
"Positive","Sanches Jadi Pemain Termuda Ketiga yang Cetak Gol di Euro"
"Positive","Final Piala Eropa, Portugal Tak Lagi Bergantung pada Ronaldo"
"Positive","Ini Rapor Pemain Laga Semifinal Euro 2016 Jerman vs Prancis"
"Positive","Mourinho Ingin Boyong Fabregas ke Manchester United"
"Positive","Cristiano Ronaldo Jadi Nama Bandara di Kota Kelahirannya"
"Positive","Laga Kedua Mourinho, MU Dipermalukan Dortmund 4-1"
"Negative","Dianggap Underdog Lawan Portugal, Pelatih Wales Malah Senang"
"Positive","Timnas AFF Segera Berlatih, Kompetisi ISC Tetap Jalan"
"Positive","Pogba Belum Deal dengan MU, Agennya Banyak Bla-Bla-Bla"
"Positive","Ini Daftar Rekor Ronaldo Sebagai Pemain Timnas Portugal"
"Positive","Pep Pimpin Latihan Man City, Pemain Bintang Masih Absen"
"Positive","Ranieri Sebut Persaingan Liga Inggris Bakal Lebih Ketat"
"Positive","Mourinho ke Juan Mata Hanya Sekali Main di 3 Pertandingan"
"Negative","Tevez Tolak Ajakan Chelsea dan Napoli Kembali ke Eropa"
"Negative","Terbelit Kasus Pajak, Messi Tetap Didukung Fan Bercelona"
"Positive","Daftar Lengkap Transfer Pemain di Liga Inggris"
"Positive","Atletico Berhasrat Kembali Boyong Costa dari Chelsea"
"Positive","Deschamps Puji Jerman Sebagai Tim Terbaik di Piala Eropa"
"Positive","Man City Siap Pecahkan Rekor untuk Dapatkan John Stones"
"Negative","Persib Resmi Kehilangan Febri Haryadi dan Gian Zola"
"Positive","Gol Evan Dimas Bawa Surabaya United Menang Lawan Persegres"
"Positive","Inter Milan Kalahkan Salt Lake, Mancini Puji DAmbrosio"
"Positive","Penjualan Kaus Timnas Islandia Melonjak 1800 Persen"
"Positive","1200 Polisi Amankan Laga Persib Vs Persija"
"Positive","Leicester Perpanjang Kontrak Kapten Wes Morgan hingga 2019"
"Positive","Persib Berambisi Curi Poin di Kandang Persipura"
"Positive","Beli Andre Gomes, Barcelona Akan Jual Arda Turan ke Inggris"
"Positive","Belgia Vs Wales Malam Ini, Adu Kreatif Hazard dan Bale"
"Positive","Italia vs Jerman, Komentar Pelatih dan Fakta Penting Lain"
"Positive","Laga Belgia vs Wales Jadi Pertandingan Antar Generasi Emas"
"Positive","Man City Vs MU, Guardiola Janji Jabat Tangan Mourinho"
"Positive","Kecam Timnas Inggris, Patrick Vieira Kok Masih Sempat Main Golf"
"Positive","Bek Asal Brasil, Mario Fernandes, Bisa Perkuat Timnas Rusia"
"Negative","Keceplosan, Tukang Cukur Pastikan Pogba Hijrah ke Man United"
"Positive","Leicester Diuji Celtic Malam Ini, Ranieri Punya PR"
"Negative","Belgia Disingkirkan Wales, Wilmots Saya Bukan Tukang Sulap"
"Positive","Statistik Laga Perempat Final Piala Eropa Wales vs Belgia"
"Negative","Dongeng Islandia Berakhir, Pemain Kecewa tapi Bangga"
"Positive","Euro 2016, Susunan Pemain Polandia Vs Portugal"
"Positive","Final Piala Eropa, Pelatih Prancis Akui Kualitas Portugal"
"Positive","Ranieri Percaya Mahrez Tak Akan Tinggalkan Leicester City"
"Positive","10 Fakta tentang David Moyes, Pelatih Baru Sunderland"
"Positive","Resmi, Liverpool Dapatkan Bek Anyar untuk Gantikan Skrtel"
"Positive","Warna Beda Italia Polesan Conte Diuji Laju Spartan Jerman"
"Negative","Menjamu PSM, Madura United Ingin Mengkudeta Posisi Arema Cronus"
"Positive","5 Kandidat Pelatih Timnas Inggris Menurut Bursa Taruhan"
"Positive","Conte Tugas di Chelsea Lebih Gampang ketimbang di Juventus"
"Negative","Mourinho Saya Memburu Empat Pemain untuk MU"
"Positive","Bastian Schweinsteiger dan Ana Ivanovic Menikah di Venezia"
"Positive","Dapat 2 Pemain Baru, Erick Thohir Yakin Inter Makin Kuat"
"Positive","Ayah Eder, Pahlawan Portugal di Euro 2016, Dibui di Inggris"
"Positive","Kalahkan Mitra Kukar, Madura United Naik Posisi Ke-2 ISC"
"Positive","Pep Guardiola Tertantang Terapkan Tiki-Taka di Man City"
"Positive","Perpanjangan Kontrak Neymar dengan Barcelona Tertunda Lagi"
"Positive","Sevilla Gaet Vazquez dari Palermo Senilai 12 Juta Euro"
"Positive","Man United Dapat Pogba, Man City Gaet Leroy Sane"
"Negative","Cedera Hantui Bali United Saat Hadapi PS TNI"
"Positive","Barcelona Serius Datangkan Penyerang Brasil Gabriel Jesus"
"Positive","LAPORAN DARI BELGIA Warga Belgia Sambut Perempat Final Euro"
"Positive","Kunci Sukses Persija Tahan Imbang Persib Adalah "
"Positive","Arsenal Sedikit Lagi Gaet Bek Muda Inggris dari Bolton"
"Positive","Manchester City Rekrut Pemain Remaja di Timnas Ukraina"
"Positive","Juventus Naikkan Lagi Harga Pogba, karena Biaya Agen"
"Positive","Lawan Wales di Lille, Belgia seperti Main di Kandang Sendiri"
"Negative","Ronaldo Sedih Lihat Messi Menangisi Kekalahan Argentina"
"Positive","Eder, Pahlawan Portugal di Final Piala Eropa 2016"
"Positive","Atletico Madrid Kontrak Fernando Torres Selama Setahun"
"Positive","Final Piala Eropa 2016 Kenangan Juara David Trezeguet"
"Positive","Kombinasi Dua Hal Jadi Rahasia Wales Singkirkan Belgia"
"Positive","West Ham Kontrak Penyerang Muda Asal Manchester United"
"Negative","Kecewa dengan Petinggi Inter Milan, Mancini Segera Mundur"
"Positive","Euro 2016 Babak Pertama, Polandia Imbangi Portugal"
"Positive","Nomor 6 Belum Terpakai di Man United, Disiapkan buat Pogba"
"Positive","Daftar Rekor dan Penghargaan di Piala Eropa 2016"
"Positive","Pemain Baru Leicester Ini Samakan Dirinya dengan Vardy"
"Positive","Ungkapan Suka Cita Pemain Jerman Bisa Akhiri Kutukan Italia"
"Negative","Ter Stegen Kemalahan, Manchester City Gaet Kiper Muda Ini"
"Positive","Persib Vs Persija, Ridwan Jakmania Datang sebagai Turis"
"Negative","Usai Libur Lebaran, Beberapa Pemain Bali United Masih Cedera"
"Positive","Diincar Chelsea dan Napoli, Tevez Pilih Setia kepada Boca"
"Positive","Barcelona Lepas Messi dari Kroasia ke Hamburg"
"Negative","Lawan Persija, Van Dijk Kemenangan Persib Harga Mati"
"Positive","Portugal Lolos ke Final, Ronaldo Kami Akan Juara"
"Positive","Ini Cerita Cristiano Ronaldo dan Seekor Ngengat"
"Negative","Kehilangan Gomes, Madrid Alihkan Target ke Sissoko"
"Positive","Menjelang Semifinal, Prancis Sebut Jerman Tim Terbaik Dunia"
"Positive","Portugal ke Semifinal tanpa Pernah Menang dalam Waktu Normal"
"Positive","MU Tawar Pogba Rp 1,8 Triliun, Juventus Minta Tambah"
"Negative","Andre Gomes Datang ke Barcelona, Ivan Rakitic Terancam"
"Positive","Dortmund Berminat Bawa Pulang Gotze dari Munchen"
"Negative","Pasca Atasi Islandia, Prancis Tak Sabar Hadapi Jerman"
"Positive","Pesawat MU Mendarat Darurat di Cina, Ini Cerita Mourinho"
"Negative","Krisis Lini Belakang, Liverpool Kejar Ragnar Klavan"
"Negative","Higuain Pindah dari Napoli ke Juventus, Maradona Kesal"
"Positive","Guardiola Haramkan Bintang Manchester City Lakukan Ini"
"Negative","Ranieri Desak Kante Segera Putuskan Nasibnya di Leicester"
"Positive","Manchester City Hampir Dapatkan Marlos Moreno, Siapa Dia"
"Negative","Lawan Pusamania Borneo, Semen Padang tanpa Pemain Andalan"
"Negative","Ozil Minta Jangan Samakan Jerman dengan Islandia"
"Positive","Morata Kembali ke Real Madrid, Apa Kata Zidane"
"Positive","Mourinho Blakblakan Soal Penjualan Juan Mata di Chelsea"
"Positive","Piala Eropa Babak I, Prancis Unggul 1-0 atas Jerman"
"Positive","Piala Eropa Babak Pertama, Portugal Vs Wales 0-0"
"Positive","Ferguson Dukung Sam Allardyce Jadi Pelatih Timnas Inggris"
"Positive","Diincar Madrid  Barca, Gabriel Jesus Segera Gabung Man City"
"Positive","Prancis Lolos ke Final, Griezmann Mari Tetap Rendah Hati"
"Positive","Swansea City Gaet Kiper Asal Australia, Mark Birighitti"
"Positive","Lawan Semen Padang, Persib Patok Target Curi Poin"
"Positive","Jerman Kami Akan Menjadi Lawan Terkuat Prancis"
"Positive","Giroud Akan Dibarter dengan Higuain Begini Kata Agennya"
"Positive","Hadapi Mitra Kukar, 3 Pemain Asing Bali United Absen"
"Positive","Tiba di Kampung Halaman, Timnas Wales Disambut Bak Juara"
"Positive","Kolo Toure Reuni dengan Brendan Rodgers di Celtic"
"Positive","Statistik dan Fakta Penting untuk Laga Prancis vs Islandia"
"Positive","Ini 13 Pemain Barcelona B Yang Siap Menembus Tim Senior"
"Positive","Arsenal Siap Tebus Lacazette 34 Juta Poundsterling"
"Positive","FC Barcelona Berkesempatan Melawat ke Indonesia Tahun Depan"
"Positive","5 Fakta Pemain Baru MU Henrikh Mkhitaryan"
"Negative","Kalah Oleh Surabaya United, Begini Dalih Pelatih PSM"
"Positive","Titus Bonai Tengah Merapat ke PSM Makassar"
"Negative","Demba Ba Alami Tragedi di Cina, Kariernya Terancam Tamat"
"Positive","Mourinho Kami Tak Hanya Konsentrasi pada Pogba"
"Positive","Jadwal dan Siaran Langsung Semifinal Piala Eropa"
"Positive","30 Ribu Tiket Persib Vs Persija Ludes dalam Hitungan Jam"
"Positive","Loew Bertahan di Timnas Jerman hingga Piala Dunia 2018"
"Negative","Kandas di Semifinal Piala Eropa 2016, Jerman Kurang Tajam"
"Negative","Jerman Kehilangan Hummels di Semifinal, Khedira Meragukan"
"Positive","Piala Eropa 2016 Mengintip Kampung Mesut Oezil di Jerman"
"Positive","Paceklik Gol Muller, Klose Dia akan Cetak Gol"
"Positive","Jalani Uji Coba Kedua, Liverpool Menang Lagi"
"Negative","Pelatih Persija Pemain Muda dan Senior Belum Padu"
"Positive","Del Piero Yakin Antonio Conte Bisa Bawa Chelsea Juara"
"Positive","Bek MU Chris Smalling Dikabarkan Dirawat di Bali"
"Positive","Gunnarsson, Si Jago Lemparan Islandia, Siap Sulitkan Prancis"
"Positive","Piala Eropa 2016 Lars Lagerback, Rahasia Sukses Islandia"
"Positive","Ronaldo Vs Griezmann di Final Piala Eropa 2016"
"Positive","Alasan Jerman Pakai Formasi 3 Bek Saat Singkirkan Italia"
"Positive","Wales Hadapi Belgia, Coleman Ini Tekanan yang Fantastis"
"Positive","Crespo Argentina Bisa Tetap Kompetitif Tanpa Messi"
"Positive","Masa Depan Terjawab, Neymar Bertahan di Barca hingga 2021"
"Positive","Pelatih Jerman Bidik Kelemahan Prancis saat Melawan Islandia"
"Positive","Belum Perpanjang Kontrak, Hughes Ingin Arnautovic Bertahan"
"Positive","Tottenham Hotspur Jadikan Wijnaldum sebagai Incaran Terakhir"
"Positive","Manchester United Incar Pemain Timnas Hirving Lozano"
"Negative","Latihan Perdana di Chelsea, Conte Langsung Marah-marah"
"Positive","Swansea Tegaskan Masih Buru Pemain di Bursa Transfer"
"Positive","Setelah Rekrut Umtiti, Barcelona Segera Dapatkan Lucas Digne"
"Positive","Pemain Real Madrid Dominasi Daftar Pemain Terbaik Eropa"
"Positive","Sevilla Segera Dapatkan Gelandang Brasil, Henrique Ganso"
"Positive","Nolito Pilih Gabung ManCity Karena Faktor Guardiola"
"Positive","Liverpool Bertolak ke Amerika, Siap Ladeni Chelsea dan Milan"
"Negative","Lawan Persipura, Persib Berharap Keluar dari Kutukan Kalah"
"Positive","Piala Eropa Ini Statistik Wales Dibanding Semifinalis Lain"
"Positive","Kisah Zidane Melawan Intervensi Presiden Real Madrid"
"Negative","LAPORAN DARI PRANCIS Z5 dan Gelombang Baru yang Gagal"
"Positive","Ini Dua Misi Lawatan Arema Cronus ke Lamongan"
"Positive","Juara Piala Eropa, Ronaldo Hadiahi Diri Sendiri"
"Positive","Jerman vs Italia, Mats Hummels Kubur Trauma Warsawa"
"Positive","Ancelotti Ingin Bayern Teruskan Tradisi Sepak Bola Menyerang"
"Positive","Peringkat FIFA, Wales Dua Tingkat di Atas Inggris"
"Positive","Ini Video Gol Cantik Mahrez, Gol Terakhirnya di Leicester"
"Positive","Didier Deschamps Cetak Sejarah Jika Prancis Juara Euro 2016"
"Positive","Tantang Jerman, Italia Bertumpu pada Kokohnya Trio BBC"
"Negative","Wales Tersingkir, Bale Kami Telah Curahkan Segalanya"
"Negative","Messi Divonis Bersalah, Chelsea Bertemu dengan Ayahnya"
"Positive","Portugal ke Semifinal, Ronaldo Belgia dan Wales Sama Berat"
"Positive","Liverpool Butuh 2 Pemain Lagi, Klopp Incar Siapa"
"Positive","Cantona Adalah Raja, Ibra pun Ingin Jadi Dewa Manchester"
"Positive","Menang dalam Laga Debut di Man United, Apa Kata Mourinho"
"Positive","Incar 4 Pemain, Petinggi AC Milan Sambangi Markas Barcelona"
"Positive","Conte Pimpin Latihan Chelsea, Oscar Langsung Optimistis"
"Positive","Euro 2016, Begini Taktik Jerman Hadapi Prancis"
"Positive","Bali United Tekuk Tuan Rumah Barito Putera 1-0"
"Positive","Pogba Kemungkinan Akan Tetap Bertahan di Juventus"
"Positive","Klub Raksasa Eropa Bersaing di International Champions Cup"
"Positive","Daftar Man of the Match Babak Perempat Final Piala Eropa"
"Negative","Allardyce Tantangan di Liga Inggris Tak Lagi Memikat Saya"
"Positive","Zambrota Juventus Untung bila Jual Paul Pogba"
"Negative","Lawan Sriwijaya FC, Persipura Tak Diperkuat Kiper Yoo"
"Positive","Pimpin Man City, Guardiola Kencangkan Sabuk Pengaman"
"Positive","Perburuan Marko Pjaca, Juventus Ungguli Milan dan Inter"
"Positive","Conte Mulai Latih Chelsea, Bonucci Ia seperti The Godfather"
"Positive","Tuanzebe Yakin Mourinho Bisa Dongkrak Performa Pemain Muda"
"Negative","Liverpool Cuci Gudang, Klopp Depak 5 Pemain Lagi"
"Positive","Tanggapi Isu Tangani Timnas Inggris, Wenger Mengapa Tidak"
"Positive","Steven Gerrard Bicarakan Peran sebagai Pelatih dengan FA"
"Positive","Bersinar di Euro 2016, Liverpool Justru Jual Joe Allen"
"Negative","Berkaki Cacat, Kiper Indonesia Jadi Bintang di Piala Dunia"
"Positive","Balotelli Balik, Klopp Langsung Memintanya Cari Klub Baru"
"Positive","Tundukan Islandia 5-2 Prancis Melaju ke Semifinal"
"Positive","Arteta Jadi Staf Pelatih Guardiola di Manchester City"
"Positive","Sam Allardyce Resmi Jadi Pelatih Timnas Inggris"
"Negative","Kehilangan Tiga Pemainnya, Ini Kata Pelatih Jerman"
"Positive","Islandia vs Prancis dan Insiden Lagu Kebangsaan 1998"
"Negative","Tanpa Ramsey, Wales Bertumpu pada Bale saat Lawan Portugal"
"Positive","Jerman Vs Prancis, Begini Adu Strategi Kedua Tim"
"Positive","Neymar Ronaldo Akan Ungguli Messi pada Pemilihan Ballon dOr"
"Positive","Leicester City Sepakat Lepas Kante ke Chelsea"
"Positive","Penduduk Lisbon Berdoa Agar Portugal Jadi Juara"
"Positive","Mundur dari Tim Spanyol, Ini Fakta soal Vicente del Bosque"
"Positive","3 Rencana Rahasia Mourinho di Manchester United"
"Positive","Steve Bruce Ramaikan Bursa Calon Pelatih Timnas Inggris"
"Positive","Lupakan Insiden Jakarta, Persija Siap Curi Poin di Samarinda"
"Positive","Mkhitaryan Merasa Optimistis Setelah Menjalani Debut di MU"
"Positive","Sam Allardyce Hampir Pasti Jadi Pelatih Timnas Inggris"
"Positive","Cina Datangkan Rijkaard, Van Basten, dan Ruud Gullit"
"Positive","Juventus Gencar Belanja Pemain, Antisipasi Kepergian Pogba"
"Positive","Piala Eropa 3 Pemain Portugal Ini Ternyata Lahir di Prancis"
"Negative","Cedera Belum Pulih, Ronaldo Absen di Piala Super Eropa"
"Positive","Mourinho Telah Kembali dari Liburan dan Siap Memimpin MU"
"Positive","Paul Pogba Menyatakan Ingin Kembali ke Manchester United"
"Positive","Arsenal Siap Barter Giroud Plus Uang dengan Higuain"
"Positive","Musim Baru La Liga, El Clasico Akan Berlangsung Desember"
"Negative","Tolak Chelsea, Joao Mario Pilih Inter Milan"
"Positive","Semifinal Piala Eropa 2016, Gareth Bale Siap Hadapi Ronaldo"
"Negative","Susul Messi, Pelatih Timnas Argentina Martino Mundur"
"Positive","Ini Alasan Andre Gomes Pilih Barcelona Ketimbang Real Madrid"
"Negative","Del Bosque Mundur dari Jabatan Pelatih Spanyol"
"Positive","Menangi Adu Penalti, Jerman ke Semifinal Piala Eropa 2016"
"Positive","Mourinho Lakukan Debut, MU Kalahkan Wigan 2-0"
"Positive","Mourinho Siap Melejitkan Bailly seperti Varane di Madrid"
"Positive","Hadapi Sriwijaya di Kandang, Semen Padang Targetkan Poin Penuh"
"Positive","Ranieri Berharap Kante Tolak Chelsea dan Tetap di Leicester"
"Positive","Jamu Madura United, Persija Pinjam Stadion Milik Lawan"
"Negative","Tolak Latih Belgia, Preudhomme Pilih Bertahan di Club Brugge"
"Positive","Alex Ferguson Mourinho Akan Bawa Kemajuan Besar di MU"
"Positive","Argentina Peringkat Pertama FIFA, Portugal Nomor 6"
"Negative","Duel Persib Vs Persija, Jakmania Dilarang ke Bandung"
"Positive","Lopetegui Gantikan Del Bosque Sebagai Pelatih Timnas Spanyol"
"Negative","Tinggalkan Inter Milan, Juan Jesus Gabung AS Roma"
"Positive","Tekuk Persija 3-0, Madura United Puncaki Klasemen ISC"
"Positive","Big Sam Hampir Pasti Gantikan Roy Hodgson di Timnas Inggris"
"Positive","Barcelona Segera Dapatkan Luciano Vietto dari Atletico"
"Positive","Semifinal Euro 2016, Ronaldo Asyik Main Poker"
"Positive","Mourinho Mulai Pimpin Latihan MU, Mkhitaryan  Bailly Hadir"
"Negative","Hadapi Prancis di Semifinal, Jerman tanpa 4 Pemain Kunci"
"Negative","Cuadrado Disisihkan Mourinho, Conte Siap Beri Kesempatan"
"Positive","Prancis Menang, Paul Pogba Buktikan Layak Diincar MU"
"Positive","Ini Duet Penyerang Pilihan Mourinho di MU"
"Positive","Newcastle Siap Lepas Wijnaldum ke Liverpool, Ini Syaratnya"
"Positive","Piala Eropa 2016 Susunan Pemain Jerman vs Prancis"
"Positive","Portugal Vs Wales, Perbedaan Karakter Ronaldo dan Bale"
"Positive","Cetak Gol dalam Debut di Liverpool, Grujic Dipuji Klopp"
"Positive","Conte Ogah Lepas Diego Costa ke Atletico Madrid"
"Positive","Piala Eropa, Begini Antoine Griezmann Menginspirasi Prancis"
"Positive","Gerrard Enggan Mengemis Jadi Staf Pelatih Liverpool"
"Positive","Griezmann, Nainggolan, dan Aubameyang Keranjingan Pokemon GO"
"Positive","Barcelona Pastikan Boyong Lucas Digne dari PSG"
"Positive","Bujuk Gabriel Jesus, Man City Manfaatkan Guardiola"
"Positive","Pep Guardiola Benahi Lini Belakang Manchester City"
"Positive","Arema Ingin Pecahkan Mitos Tak Pernah Menang di Lamongan"
"Positive","Italia vs Jerman Malam Ini, Conte Akan Lebih Luar Biasa"
"Positive","Hadapi Surabaya United, Persegres Waspadai Evan Dimas"
"Positive","Fakta dan Statistik Penting untuk Laga Wales vs Belgia"
"Negative","Higuain Segera Bergabung dengan Juventus, Maradona Itu Menyakiti Saya"
"Positive","Tekuk Wales, Ronaldo Kami Sudah Dekat dengan Trofi Piala Eropa"
"Negative","Hadapi Portugal di Semifinal, Wales tanpa Ramsey dan Davies"
"Negative","Lawan Italia, Kekuatan Jerman Belum Benar-benar Teruji"
"Negative","Lawan Wales, Belgia Harus Atasi Lini Belakang Rapuh"
"Positive","Ronaldo 2016 Tahun Terbaik dalam Karier Saya"
"Positive","Barcelona Bayar 40 Juta Euro untuk Datangkan Andre Gomes"
"Positive","Arema Cronus Ingin Tampil Agresif Saat Dijamu Persela"
"Negative","Mourinho Beri Sinyal Akan Buang Pemain Manchester United Lagi"
"Positive","Griezmann Puncaki Daftar Pencetak Gol Terbanyak Piala Eropa"
"Positive","Samuel Umtiti, Bintang Baru Barca di Laga Jerman-Prancis"
"Positive","Mourinho Ingin Kejar Rekor Sir Alex Ferguson di MU"
"Positive","Dendam Jerman di Piala Eropa 2012 Terbayar"
"Negative","Belgia Kehilangan Jan Vertonghen hingga Akhir Piala Eropa"
"Positive","Manchester City Siap Jadikan Bonucci Bek Termahal di Dunia"
"Positive","Payet Tak Akan Tinggalkan West Ham United"
"Positive","Arema Cronus Bertekad Pertahankan Supremasi atas Persela"
"Positive","Beckham Yakin Mourinho Akan Sukses di Manchester United"
"Positive","Barcelona Kontrak Samuel Umtiti Selama Lima Tahun"
"Positive","Masuk Semifinal Piala Eropa 2016, Pangeran Charles Surati Tim Wales"
"Positive","Manchester City Beli Geronimo Rulli Rp 68 Miliar"
"Negative","Gagal di Piala Eropa 2016, Belgia Pecat Marc Wilmots"
"Negative","Pelatih PSM Makassar Tuding Ada Mafia Bola Saat Lawan Madura"
"Positive","Persija Tandang ke Persib, Begini Saran Ketua The Jakmania"
"Negative","Persija Kalah Telak 3-0 Lawan Pusamania Borneo"
"Positive","Lawan Persib Bandung, Semen Padang Targetkan Raih Poin Penuh"
"Positive","40 Pemain Dipanggil Seleksi Timnas Indonesia U-19"
"Positive","Pogba ke United, Zidane Beri Rodriguez Kesempatan Terakhir"
"Positive","Asiop Apacinti Juara Gothia Cup di Swedia, Ini Kata Menteri Imam"
"Positive","Gameiro Diincar Barca dan PSG, Sevilla Pasang Harga Rp 577 M"
"Positive","Tekuk Wales 2-0, Portugal Maju ke Babak Final Piala Eropa"
"Positive","Mourinho Pakai Formasi 4-2-3-1 di MU, Ibra Jadi Ujung Tombak"
"Positive","Piala Eropa Babak II, Skor Portugal Vs Prancis Masih 0-0"
"Positive","Payet Cemerlang di Timnas, West Ham Pasang Bandrol Rp 864 M"
"Negative","Mourinho Bawa MU Tur ke Cina, Ibra dan Martial Tak Diajak"
"Positive","Piala Eropa 2016 Babak I, Wales vs Belgia Imbang 1-1"
"Negative","Laga Man United Vs Man City di Cina Dibatalkan, Ini Sebabnya"
"Positive","Pindah ke Cina, Graziano Pelle Dapat Gaji Rp 4,5 M per Pekan"
"Positive","Prancis Tekuk Jerman 2-0 dan Melaju ke Final Piala Eropa"
"Negative","Federer Susah Payah Pertahankan Gelar Australia..."
"Negative","Greysia/Apriyani Kalah, Indonesia Gagal Juara Umum"
"Negative","Vika Masih Membutuhkan Waktu untuk Bernafas"
"Positive","Jadwal Lengkap Pertandingan NBA, Rabu (21/3/2018)"
"Negative","Joshua Minta Wilder Jangan Hanya Mengumbar Sensasi"
"Positive","Bantah Doping, Canelo: Pada Akhirnya Kebenaran Akan..."
"Positive","Masih Haus Gelar, Federer Belum Pikirkan Pensiun"
"Negative","Dua Petinju Asia Tenggara Ancam Rekor Mayweather..."
"Positive","KO Awuku, Berchelt Cuma Butuh Tiga Ronde"
"Positive","Don King Sebut Ramirez Bertarung Layaknya Orang..."
"Positive","Daniel Ricciardo Membidik Gelar Juara Dunia"
"Negative","Stan Wawrinka: Roger Federer Tua-tua Keladi"
"Positive","Mantan Juara Kelas Menengah WBO Gantung Sarung Tinju"
"Positive","Kell Brook Robohkan Rabchenko Dalam Waktu Dua Ronde"
"Positive","Pertarungan Haram Kalah buat King Arthur dan Nielsen"
"Positive","Valentino Rossi Dinobatkan Sebagai Juara Dalam Video..."
"Positive","Stephen Curry, Sniper Tangguh Bermental Baja"
"Positive","Double-double James Warnai Kemenangan Cavs atas..."
"Negative","Serena Williams Tumbang di Babak Pertama Miami Terbuka"
"Positive","Terobosan Baru di IBL 2017/2018"
"Positive","Frampton Jadikan 2018 sebagai Tahun Terbaik dalam..."
"Positive","Liburan ala Lewis Hamilton"
"Positive","Memburu Rekor Fangio, Vettel Siap Tempur dengan..."
"Positive","Pertahankan Gelar All England, Kevin/Markus Kebanjiran..."
"Positive","Resolusi Total Novak Djokovic"
"Positive","Daniel Ricciardo Membidik Gelar Juara Dunia"
"Positive","Venue Turnamen Miami Terbuka Bakal Pindah Lokasi"
"Negative","Vika Masih Membutuhkan Waktu untuk Bernafas"
"Positive","Hasil Lengkap Final Indonesia Masters 2018"
"Positive","Kevin/Markus Tak Menyangka Bisa Pertahankan Gelar..."
"Positive","Gisele Bundchen, Bidadari bagi Keluarga Tom Brady"
