"id","sentiment","text"
4816,"Negative","Susi Marah-Marah di Forum Bisnis Perikanan, Ada Apa?"
4817,"Positive","Cerita Jokowi yang Shock Saat Masuk Markas Facebook Hingga Google"
4818,"Positive","Game-Game Langka, Bak 'Holy Grail' Bagi Kolektor"
4819,"Positive","Sri Mulyani: Milenial Lebih Pilih Jadi CEO Startup Daripada Menkeu"
4820,"Negative","Pemerintah Jual Surat Utang Dolar dan Euro Sekaligus Tahun Depan"
4821,"Negative","Kendaraan dan Komponennya Dominasi Impor Januari US$ 695 Juta"
4822,"Positive","Jadi Beli Bank Muamalat, Saham PADI Langsung Melejit 8,19%"
4823,"Negative","Aturan Menhub Dinilai Tak Cukup Kelola Transportasi Online"
4824,"Positive","Begini Cara Darmin Nasution Rayu Pengusaha Rusia Berinvestasi di RI"
4825,"Positive","Di Depan Pengusaha, Menpar Paparkan Cara Dongkrak Daya Saing RI"
4826,"Negative","Keuangan BUMN Mulai 'Berdarah-darah', Pemerintah Diminta Hati-hati"
4827,"Negative","Ini yang Bikin Harga Cabai Tembus Rp 60.000/Kg"
4828,"Negative","Ini yang Rajin Beri Utang ke Pemerintah RI"
4829,"Positive","Susi ke Mahasiswa ITB: Semahal-mahalnya Ikan, Lebih Mahal Daging"
4830,"Positive","Umur Belum 40 Tahun, Ini Miliuner Termuda di Asia Berharta Triliunan (1)"
4831,"Positive","Diam-diam, Ada yang Borong Sama Minna Padi Rp 430 Miliar"
4832,"Positive","Operator Bandara Soekarno-Hatta Punya Bos Baru"
4833,"Positive","Bank Dunia: Reformasi Program Migrasi Maksimalkan Kesejahteraan TKI"
4834,"Positive","Orang Terkaya RI Ini Pernah Sumbang Rp 1 Triliun ke Bill Gates"
4835,"Negative","Mengekor Sevel dan Debenhams, Clarks Indonesia Tutup Toko"
4836,"Positive","Kereta JKT-BDG Rasa Pesawat Bisa Dicoba Mulai Besok"
4837,"Positive","Ini Rahasia Sukses Jack Ma Membangun Bisnis Rp 6.500 Triliun"
4838,"Positive","Jokowi Minta Pengusaha Tak Khawatir Investasi di Tahun Politik"
4839,"Negative","Subsidi Bensin Premium Dicabut, Ini Imbasnya ke Pasar Keuangan"
4840,"Positive","Akankah Koleksi Saham 'Gocap' Grup Bakrie Bertambah?"
4841,"Negative","Banyak Toko Ritel Tutup, Saham-saham Peritel Masih Layak Koleksi?"
4842,"Positive","Resmikan Proyek Pasar Ikan Muara Baru, Susi Pesan Ini ke Anies"
4843,"Negative","Pengusaha Was-was Jika Dolar Tembus Rp 14.000"
4844,"Positive","Mendag, Mentan Hingga Menpar kumpul Bareng di Hotel Borobudur"
4845,"Negative","Korban Banjir Jakarta, Pasar Tradisonal Hingga Tanah Abang 'Lumpuh'"
4846,"Positive","Jokowi Bakal Ajak Bos IMF Blusukan ke Pasar Mayestik"
4847,"Negative","Sejak 2015, Tangkapan Tuna RI Selalu di Bawah Kuota"
4848,"Positive","Dibuka! Layanan untuk Cari Kerja dan Cari Pekerja di Cikarang"
4849,"Positive","Fakta Kereta Bandara Soekarno-Hatta yang Sudah Beroperasi"
4850,"Positive","Jelang Puasa, Buah-Buahan Ini Laris-Manis Diborong Warga"
4851,"Negative","Penjualan Sepi, 74 Gerai Starmart dan Guardian Ditutup"
4852,"Positive","Doyan Traveling? Debenhams Banting Harga Koper di Hari Terakhir Buka"
4853,"Positive","Perbandingan Biaya Mudik JKT-SBY: Naik Mobil, Kereta Hingga Pesawat"
4854,"Positive","Gandeng Polisi Tertibkan Taksi Online, Menhub: Belum Ada Tilang"
4855,"Negative","Alasan Matahari Tutup di Manggarai dan Blok M: Sepi Pengunjung"
4856,"Positive","Sri Mulyani Video Conference dengan Kanwil se-Indonesia, Ini yang Dibahas"
4857,"Positive","Stasiun LRT Cikunir Bakal Dilengkapi Rusun, Harganya Rp 400 Jutaan"
4858,"Positive","Ini Kakek Penjual Kursi Wonogiri yang Dipakai Anak Tercantik Korsel"
4859,"Negative","Ini 10 Provinsi Paling Banyak Orang Miskin"
4860,"Negative","Ini Dampak Memanasnya Hubungan Ukraina-Rusia Terhadap Ekonomi Dunia"
4861,"Positive","Sebelum Beli Muamalat, Minna Padi Mau Rombak Direksi dan Komisaris"
4862,"Positive","Jelang Akhir Tahun, Tingkat Hunian Hotel di Bali Penuh"
4863,"Positive","Akhir Pekan, Menhub Tinjau Proyek Padat Karya Cash di Curug"
4864,"Positive","Sri Mulyani Umumkan Realisasi Penerimaan 2017 Pada 2 Januari"
4865,"Negative","Negara Ini Jadi Korban Jatuhnya Harga Emas dan Tembaga"
4866,"Positive","Bea Cukai Awasi Melon Australia Masuk RI Lewat Pelabuhan Belawan"
4867,"Positive","Trump Jadi Saksi China Borong 300 Pesawat Boeing Rp 500 T"
4868,"Positive","Ingin Hidup Lebih Baik? Pindah ke Negara Ini (2)"
4869,"Positive","Ini Penampakan Bandara dengan Mal Pertama di Indonesia"
4870,"Positive","9 Investor Asia dan Eropa Minati Proyek Bandara Kualanamu Rp 11 T"
4871,"Positive","Kapan Wilayah Udara Natuna Yang Dikuasai Singapura Diambil Alih RI?"
4872,"Positive","Ditopang Penguatan 9 Sektor Saham, IHSG Naik ke 6.470"
4873,"Positive","Rini Soemarno Bakal Rombak Struktur Direksi BUMN Karya"
4874,"Negative","Drama Bakrie-Rothschild, Dulu Mesra Kini Bercerai (2)"
4875,"Negative","Sudah Ada PHK Gara-gara Bayar Tol 100% Non Tunai?"
4876,"Negative","Penyebab Orang RI Makin Irit Belanja: Gaji Naiknya Dikit"
4877,"Positive","Data Ekonomi RI Baik, Jokowi: Kok Enggak Bisa Lari Cepet?"
4878,"Positive","Ini Visi dan Misi Prabowo-Hatta di Bidang Ekonomi"
4879,"Negative","Ini Dampak Memanasnya Hubungan Ukraina-Rusia Terhadap Ekonomi Dunia"
4880,"Positive","Ini Dia Rincian Program Menteri-menteri Jokowi Dengan Anggaran Terbesar"
4881,"Positive","Luhut ke BPPT: Harus Terlibat Mobil Listrik dan Teknologi Garam"
4882,"Positive","10 Tahun Lagi, Kota Ini Akan Jadi yang Terkaya di Dunia"
4883,"Positive","Bakrie Sumatera Kejar Produksi Sawit 450 Ribu Ton Tahun Ini"
4884,"Positive","Jabar dan Souss Massa Maroko Tingkatkan Kerja Sama Berbagai Bidang"
4885,"Positive","5,8 Juta Orang Naik Kereta Api Selama Musim Lebaran 2017"
4886,"Positive","Yuk, Mencoba Monorel di Beberapa Negara Tetangga Ini"
4887,"Positive","Tiba di Pasar Tanah Abang, Jokowi dan Bos IMF Disambut Warga"
4888,"Positive","Menperin dan Menaker Datangi Kantor Darmin Bahas Ekonomi Digital"
4889,"Positive","Ini Dia Nama-nama Calon Direksi Bursa Efek"
4890,"Positive","Banyak Kapal Pencuri Ikan Tidak Ditenggelamkan, Menteri Susi Marah Besar"
4891,"Positive","Darmin Gelar Rapat Pangan 3 Jam, Ini Dia Hasilnya"
4892,"Positive","Manfaatkan NIK e-KTP, Jadi Investor Pasar Modal Cuma 15 Menit"
4893,"Positive","Ajak Warga Jabar Investasi Saham, Aher: Ada yang Syariah"
4894,"Positive","Ini Daftar 100 RW Kumuh yang Siap Jokowi Berantas"
4895,"Negative","Alexis dan Bisnis Hiburan Jakarta Bernilai Rp 4 Triliun"
4896,"Positive","Starbucks Mau Rekrut 10.000 Pengungsi Setelah Larangan Trump"
4897,"Positive","Trump Rombak Pajak AS, Apa Saja yang Berubah?"
4898,"Positive","Tol Laut Jokowi Angkut 1.000 Ekor Sapi NTT ke Jakarta Tiap Bulan"
4899,"Positive","Fakta Kereta Bandara Soekarno-Hatta yang Sudah Beroperasi"
4900,"Negative","Trump Naikkan Bea Masuk Baja, Harga Mobil Pabrikan AS Bisa Naik"
4901,"Negative","Saham Waskita Jatuh Makin Dalam, Siang Ini Sudah 2% Lebih"
4902,"Positive","Indonesia Jadi Tuan Rumah 3 Hajatan Besar Ekonomi Dunia"
4903,"Positive","Pengembangan Tahap I Pelabuhan Kuala Tanjung Capai 70%"
4904,"Positive","Agar Truk Pantura Masuk Tol, Pengusaha: Tarif Mesti Lebih Murah"
4905,"Positive","Kereta MRT Jakarta Siap Dikirim Pakai Kapal Laut dari Jepang"
4906,"Positive","Begini Cara Menteri PUPR Ngecek Stadion Renang di GBK"
4907,"Positive","Ingin Jadi Pengusaha & Pegawai Wanita Sukses 2013? Simak Tips Ini (1)"
4908,"Positive","Cara Petani di Brebes Kurangi Kerugian Saat Harga Bawang Anjlok"
4909,"Positive","Kereta Ekonomi Rasa Eksekutif Ini Layani Rute Jateng Sampai Jatim"
4910,"Negative","Gula Tak Standar Harus Digiling Ulang, Siapa Tanggung Biayanya?"
4911,"Positive","IHSG Rebound ke 6.585"
4912,"Negative","Harga Beras Melonjak, di Jayapura Paling Mahal"
4913,"Positive","Menperin dan Pengusaha Mebel Bertemu Jokowi, Ini yang Dibahas"
4914,"Negative","Penjualan Pernak-pernik Imlek Tahun Ini Kurang Bergairah"
4915,"Positive","Penyelundup Tobat Ini Sekarang Jadi Miliuner"
4916,"Positive","Mentan: Harus Sabar Kalau Disalahkan Soal Harga Pangan"
4917,"Positive","Proyek LRT Jakarta Dikebut, Ini Penampakannya"
4918,"Negative","Lika-Liku Ahmad Dhani dan Asuransi Si Dul"
4919,"Negative","Ini Para Pemberi Utang Terbesar Buat RI"
4920,"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
4921,"Positive","Rini Tersinggung Soal BUMN Disebut Dominasi Proyek Infrastruktur"
4922,"Positive","Kemenkop: UU Kewirausahaan akan Dorong Penghematan Anggaran"
4923,"Positive","Ini Peluang Bisnis Menggiurkan Jelang Imlek"
4924,"Positive","Mengenal Kapal 'Tol Laut' Pertama di Indonesia"
4925,"Positive","Begini Cara Pemerintah Maksimalkan Bonus Demografi RI"
4926,"Positive","Dana Asian Games Bakal Ditambah Rp 1,5 Triliun"
4927,"Negative","RI Waspadai Melon Asal Australia"
4928,"Positive","Beredar Usulan Gaji Jokowi Rp 553 Juta"
4929,"Positive","Ini Pentingnya Pantau Lahan Sawah Pakai Satelit"
4930,"Positive","Dua Menteri Resmikan Pembangunan Rusun Nempel Stasiun Pondok Cina"
4931,"Positive","INKA Incar Proyek Kereta Bangladesh Rp 1,4 Triliun"
4932,"Negative","Ini Tugas Berat Jokowi Untuk Thomas Lembong"
4933,"Positive","Mengintip Pabrik Pesawat Airbus di China"
4934,"Negative","Dirut Jakpro Heran Beton LRT Jakarta Bisa Roboh"
4935,"Negative","Ini Pemimpin-Pemimpin yang Diduga Permak Muka"
4936,"Positive","BI Turunkan Proyeksi Pertumbuhan Ekonomi RI Jadi 4,9-5,3%"
4937,"Positive","Rumah Dua Tingkat Ini Bisa Pakai DP Rp 0"
4938,"Negative","Tuduhan Satgas Pangan dan Bantahan PT IBU"
4939,"Positive","Sekuriti Beruntung Pemenang Rumah Rp 300 Juta"
4940,"Positive","Mengintip Pabrik Pesawat Airbus di China"
4941,"Positive","Diam-diam Papua Bangun Stadion Megah Penanding GBK"
4942,"Positive","Masuk Terowongan, Jokowi Cek Proyek MRT"
4943,"Negative","Inggris 'Cerai' dari Uni Eropa, BI: Rupiah Relatif Stabil"
4944,"Positive","Wow! Bitcoin Akhirnya Tembus Rp 135 Juta"
4945,"Positive","Ini Tantangan Ajak Swasta Bangun Pelabuhan Hingga Bandara di RI"
4946,"Positive","Budi Karya Minta Tanjung Priok Buka di Akhir Pekan"
4947,"Negative","Toko Ritel Berguguran, Waspada PHK dan Pengangguran Bertambah"
4948,"Negative","KPPU dan Pengusaha Kumpul Bahas Persaingan Usaha"
4949,"Positive","Data dan Fakta: Palangka Raya Calon Ibu Kota RI"
4950,"Positive","6 Proyek Kereta Api di Jabodetabek"
4951,"Negative","Lika-Liku Ahmad Dhani dan Asuransi Si Dul"
4952,"Negative","Berselisih dengan Karyawan, Pabrik Teh Sosro Setop Produksi"
4953,"Positive","Selain Senjata, Pindad Juga Produksi Alat Pertanian"
4954,"Positive","Come Back Sri Mulyani Jadi Menteri Keuangan"
4955,"Positive","Gaji Rp 5 Juta Tapi Ingin Traveling? Bisa Kok"
4956,"Positive","LRT Jabodebek Ditarget Selesai Maret 2019"
4957,"Positive","Rusun Klender Akan Terhubung dengan Stasiun"
4958,"Positive","Begini Caranya Agar UMKM Mudah Memulai Bisnis"
4959,"Negative","Fakta soal Jumlah Pegawai Bank yang Terus Menyusut"
4960,"Positive","Kereta Jakarta-Bandara Soetta Beroperasi 1 Desember 2017"
4961,"Negative","Tentang Pangeran Alwaleed Ditinggal Teman Pasca Tertangkap"
4962,"Negative","LPS Tahan Suku Bunga Penjaminan"
4963,"Positive","INKA Incar Proyek Kereta Bangladesh Rp 1,4 Triliun"
4964,"Negative","Kinerja Saham Bakrie 7 Mulai Melempem"
4965,"Positive","3 Poin Penting Industri Mebel dan Kerajinan Menurut Jokowi"
4966,"Positive","Tol Padang-Pekanbaru Punya Terowongan Terpanjang di Indonesia"
4967,"Positive","Jokowi Banggakan INKA dan PTDI Tembus Pasar Ekspor"
4968,"Positive","Wijaya Karya Buka Lowongan Kerja, Berapa Gajinya?"
4969,"Positive","Ini Dia Mega Proyek Kereta Batubara di Kalimantan"
4970,"Negative","Fakta Seputar Mainan Impor Bebas SNI"
4971,"Negative","Daftar Penipuan Investasi Terbesar Dalam Sejarah (2)"
4972,"Negative","3 Perusahaan Bakrie Rugi Hingga Triliunan Rupiah"
4973,"Positive","Susi Perpanjang Penggunaan Cantrang, Apa Alasannya?"
4974,"Negative","Gelar Diskon Besar-Besaran, New Look Mau Tutup?"
4975,"Positive","Adhi Karya Jamin Kondisi Keuangan Masih Sehat"
4976,"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
4977,"Negative","Curhatan Pengusaha yang Hanya Bisa Nonton Proyek Infrastruktur Jokowi"
4978,"Positive","Bank-bank Prancis Siapkan Lowongan untuk 1.000 Pekerja"
4979,"Positive","Rp 15 Triliun Investasi Asing Masuk Aceh"
4980,"Negative","Deretan Komoditas Pangan Ini Berpotensi Naik Jelang Puasa"
4981,"Positive","Ini Dia Daftar Miliuner Ganteng yang Masih Bujangan"
4982,"Positive","BEI Tegaskan Perdagangan Saham Berjalan Normal"
4983,"Negative","Siap-siap, Tarif Tol Cipularang akan Naik Hingga Rp 7.000"
4984,"Positive","OJK Siapkan Cara Baru Selamatkan Asuransi Bumiputera"
4985,"Positive","Bos Mandiri Optimistis Pertumbuhan Kredit Tahun Ini Capai 13%"
4986,"Positive","Pemerintah Siap Lelang SUN Targetnya Rp 25,5 Triliun"
4987,"Negative","Ini Alasan Minimnya Penyaluran Kredit ke Sektor Perikanan"
4988,"Positive","Dirombak, Ini Direksi dan Komisaris Baru BRI"
4989,"Negative","Hukuman dari Menteri PUPR untuk Operator Gantry DDT Lalai"
4990,"Positive","PTDI Kirim Pesawat dan Heli Canggih Buat TNI"
4991,"Positive","BI Ramal Ekonomi RI Bisa Tumbuh 5,5% Tahun Ini"
4992,"Negative","Cadangan Devisa RI Turun Jadi US$ 125,9 Miliar"
4993,"Positive","Beredar Usulan Gaji Jokowi Rp 553 Juta"
4994,"Positive","Suami-Istri Terkaya di Dunia, Hartanya Rp 1.000 Triliun (2)"
4995,"Negative","Bunga Deposito Terus Turun, Bunga Kredit Kok Masih Tinggi?"
4996,"Positive","Ini Dia Bintang Iklan Versi Pejabat Publik RI"
4997,"Positive","Strategi Indonesia Eximbank Cari Pembiayaan Murah dari Luar Negeri"
4998,"Negative","Ini Tiga Pekerjaan yang Terancam Teknologi"
4999,"Negative","Penjualan Mobil Sedan Sepanjang 2017 Paling Anjlok, Ini Penyebabnya"
5000,"Positive","Dolar AS Masih di Kisaran Rp 13.770"
5001,"Positive","Begini Cara Pemerintah dan Pengembang Kejar Target Sejuta Rumah"
5002,"Negative","Daya Beli Lesu, Adakah Dampaknya ke Toko Online?"
5003,"Positive","Mengintip 10 Bank Terkaya di Dunia (2)"
5004,"Positive","Pedagang Tanah Abang Ramai-ramai Gelar Diskon"
5005,"Positive","Kereta Bandara Soetta Bisa Dijajal dari Stasiun Manggarai 2018"
5006,"Positive","Mengintip Perakitan Pesawat Terlaris Airbus"
5007,"Negative","Ini Penyebab Peringkat Kemudahan Berbisnis di Jakarta Turun"
5008,"Negative","Ini yang Terbanyak Beri Utang ke Pemerintah RI"
5009,"Positive","Karir Menjanjikan di BUMN, dari Level Bawah Bisa Jadi Direktur"
5010,"Positive","Jualan Obat dan Makanan Online, Pedagang Wajib Izin BPOM"
5011,"Positive","Blue Bird Dapat Kucuran Dana Rp 1 Triliun dari Bank Sumitomo"
5012,"Positive","Mulai Akhir Januari Berbisnis di RI Akan Lebih Mudah"
5013,"Positive","Modal Rp 30 Juta, Pedagang Tanah Abang Pasok Baju Koko dari Tasik"
5014,"Positive","Mengintip Terowongan yang Tembus Gunung Banyumas Hingga Perut Jakarta"
5015,"Positive","Cerita Jokowi Kepincut Jaket Garang Made In Bandung"
5016,"Positive","Kejar Produksi 1,5 Juta Ton, Inalum Akan Bangun Pabrik di Kaltara"
5017,"Negative","Ini Para Pemberi Utang Terbesar Buat RI"
5018,"Positive","Long Weekend, Penjualan Toko Ritel Bakal Naik 10%"
5019,"Negative","Ini Negara yang Paling Rajin Beri Utang ke Pemerintah RI"
5020,"Negative","Rizal Ramli Blak-blakan soal Isu Pelemahan Daya Beli"
5021,"Negative","Utang Rp 3.672 T, Indef: Kalau Tak Produktif Jadi Beban Anak Cucu"
5022,"Positive","Ini Kaum Ibu yang Masuk Daftar Orang Paling Tajir di Dunia"
5023,"Negative","Pertumbuhan Ekonomi Indonesia Tak Capai Target (Lagi)"
5024,"Negative","Ritel Babak Belur, Pengusaha: Jalan Keluarnya Tutup Toko"
5025,"Negative","Kata Menhub Soal Nasib Pondok Cabe Jadi Bandara Komersial"
5026,"Negative","Hapus Denda Pajak Kendaraan, Pengaruh ke Penerimaan DKI?"
5027,"Negative","Penerimaan CPNS Tahun Ini Tak Lebih dari 220 Ribu Lowongan"
5028,"Positive","Dibangun 17 Agustus 2015, Ini Dia LRT Usulan Jokowi"
5029,"Positive","Tutup Pameran Kuliner MSP Expo, Ini Pesan Djarot"
5030,"Positive","Naik Lagi, Harga Emas Antam Dijual Rp 637 Ribu/Gram"
5031,"Negative","Jumlah Beras Impor yang Masuk RI Masih Bisa Turun"
5032,"Negative","Ini Alasan Kemenhub Belum Tindak Tegas Taksi Online 'Nakal'"
5033,"Positive","Pilkada dan 2 Acara Internasional Ini Bakal Dongkrak Ekonomi RI 2018"
5034,"Positive","Ini Dia Fasilitas Pesawat Terbaru Airbus 350 XWB Seharga Rp 2,9 T"
5035,"Positive","Peluang Investasi, Ini Daftar Rencana Tol Terbaru"
5036,"Positive","Swasta Mau Jadi Pemain Utama Proyek Pemerintah, Ini Syaratnya"
5037,"Negative","BUMN Lagi Suka Sekuritisasi Aset, Apa Sih Maksudnya Itu?"
5038,"Negative","Gerai Debenhams di Kemang dan Karawaci Tutup, Sisa 1 di Senayan"
5039,"Positive","Biaya Proyek Kereta Kencang JKT-SBY Bisa Dipangkas, Begini Caranya"
5040,"Positive","Begini Bentuk Pesawat Canggih Boeing Business Jet"
5041,"Negative","Awal Tahun, Harga Komoditas Pangan Masih Tinggi"
5042,"Negative","Lepas dari Jeratan Rothschild, Bagaimana Nasib Saham-saham Grup Bakrie?"
5043,"Positive","Anies Bakal Kaji Ulang Perdinas DKI Rp 1,5 Juta/Hari"
5044,"Negative","Pesan Blue Bird di Go-Jek Lebih Murah, Pemasukan Sopir Tak Berkurang"
5045,"Negative","Kanwil Pajak Jateng II Prediksi Tak Capai Target Rp 11,5 T"
5046,"Negative","7 Juta Angkatan Kerja RI Menganggur, Lama-lama Bisa Makin Banyak"
5047,"Positive","Ini Pesawat Jet Pribadi Favorit Pengusaha Hingga Politikus RI"
5048,"Negative","Produk Bermerek Tiruan Asal China, Tas Mewah Hingga Jam Tangan"
5049,"Positive","Pemerintah akan Perpanjang Masa Berlaku Izin Kerja Tenaga Asing"
5050,"Positive","Pupuk Indonesia Siapkan 1,5 Juta Ton Pupuk Bersubsidi"
5051,"Negative","Kisah Bakrie Telecom: PHK Ratusan Karyawan Agar Bertahan Hidup"
5052,"Negative","Mahal! Harga Cabai Rawit Merah Tembus Rp 60.000/Kg"
5053,"Negative","Ini Bos-bos BUMN yang Pernah Diusir DPR dari Ruang Rapat"
5054,"Positive","Sah! DPR Setuju Subsidi Elpiji 3 Kg Rp 20 Triliun"
5055,"Positive","Ini Dia Jet Pribadi Super Mewah Termahal di Dunia (2)"
5056,"Positive","Ini Dia Nama-nama Calon Direksi Bursa Efek"
5057,"Positive","Sri Mulyani: 5 Kantor Pajak Hampir Capai Target 100%"
5058,"Positive","Jasa Marga Klaim Belum Ada PHK Gara-gara Transaksi Non Tunai"
5059,"Positive","Kemendag: Izin Impor Jeruk Mandarin Keluar, Termasuk dari China"
5060,"Positive","Hampir Rampung, Tol Cikampek-Palimanan Bisa Dipakai Ngebut 140 Km/Jam"
5062,"Positive","Ekonomi Filipina Tumbuh 6,9% di Kuartal III-2017"
5063,"Negative","Mengekor Sevel dan Debenhams, Clarks Indonesia Tutup Toko"
5064,"Negative","RI Kaya Ikan, Tapi Penyaluran Kredit ke Nelayan Masih Kecil"
5065,"Positive","Misteri Harta Karun di Bawah Laut RI"
5066,"Positive","Mau Tahu Perusahaan Terbesar di AS? Ini Daftarnya"
5067,"Positive","Cerita Kursi Kondangan Jadul Wonogiri Dipakai Anak Tercantik Korea"
5068,"Positive","Libur Panjang, 3.000 Penumpang Naik Kereta Bandara Soetta dalam Sehari"
5069,"Positive","Daftar 5 Provinsi dengan Kenaikan UMP 2018 Tertinggi & Terendah"
5070,"Positive","Go-Jek Yakin Bisa Kantongi Izin Layanan QR Code Bulan Ini"
5071,"Positive","Bahas Dana Babinsa, Sri Mulyani dan Panglima TNI ke Kantor Luhut"
5072,"Negative","Maskapai dengan Pramugari Berbikini Masuk ke RI Pertengahan 2017"
5073,"Negative","Insentif Pajak Sepi Peminat, Sri Mulyani Gelar Evaluasi"
5074,"Negative","Toko Matahari di Manggarai dan Blok M Tutup, Bagaimana Nasib Pegawai?"
5075,"Negative","Pedagang Pasar Senen Akui Pendapatan Jual Atribut Kampanye Turun"
5076,"Positive","Kemendag: Beras Impor Diharapkan Cepat Masuk Jaga Stok Bulog"
5077,"Positive","Ini Foto-foto yang Diunggah Menteri Susi di Twitter"
5078,"Negative","KPPU: Impor Beras Jelang Panen Raya Bisa Rugikan Petani"
5079,"Positive","Jumlah Penduduk Terus Bertambah, Bagaimana Ketahanan Pangan RI?"
5080,"Positive","Yuk Intip Deretan SPG Cantik di Pameran BUMN"
5081,"Positive","Ini Pesawat Jet Pribadi Favorit Pengusaha Hingga Politikus RI"
5082,"Positive","Kapal Perang Buatan BUMN Ini Mampu Angkut 500 Pasukan dan 20 Tank"
5083,"Positive","Kereta 'Rasa Pesawat' JKT-BDG Bisa Dijajal Hari Ini"
5084,"Negative","RI Belum Bisa Lepas dari Pangan Impor, Ini Daftarnya (2)"
5085,"Positive","Data dan Fakta: Palangka Raya Calon Ibu Kota RI"
5086,"Negative","Harga Beras Makin Mahal, Pemerintah Akhirnya Pilih Impor"
5087,"Positive","RI Punya Holding BUMN, di Negara Tetangga Ada Temasek dan Khazanah"
5088,"Positive","Ini 10 Ruas Tol Jabodetabek dan Progresnya"
5089,"Positive","5 Rahasia Sukses 'Menyehatkan' Kembali Kantong Anda"
5090,"Positive","Induk Sevel Akhirnya Dapat Restu Pemegang Saham untuk Jual Aset"
5091,"Positive","Lotte akan Bangun Pabrik Kimia Rp 52 Triliun di Cilegon"
5092,"Negative","Sebut Ritel Bakal Tutup Lagi, Pengusaha: di Sektor Non Makanan"
5093,"Negative","Didatangi China Railway, Luhut: Utang Kereta Cepat Sebentar Lagi Cair"
5094,"Negative","Kebakaran di Pasar Kramat Jati, Pedagang Rugi Hingga Rp 2 M"
5095,"Negative","Ini Alasan Minimnya Penyaluran Kredit ke Sektor Perikanan"
5096,"Positive","Beli Heli Pemburu Kapal Selam dari PTDI, Ini Alasan TNI AL"
5097,"Negative","Momen Terburuk Bagi Orang-orang Tajir di 2014 (1)"
5098,"Negative","Ritel Ramai-ramai Tutup Gerai Tahun Ini, Ada Apa?"
5099,"Negative","Pemerintah AS Tutup, Seberapa Besar Dampaknya ke RI?"
5100,"Positive","Orang-orang Terkaya RI, Dari Tukang Foto Copy Hingga Jualan Koran"
5101,"Positive","Hingga Oktober, Adhi Karya Kantongi Rp 31,6 Triliun Kontrak Baru"
5102,"Negative","Rupiah Menahan Gempuran Dolar AS, Mungkinkah Tembus Rp 14.000?"
5103,"Positive","Mau Bikin Usaha Bareng Teman? Ini yang Harus Disiapkan"
5104,"Positive","Sandi Mau Pangkas Kemiskinan DKI Jakarta 1% dalam 5 Tahun"
5105,"Positive","JK: Saat Panen Raya, Beras Impor Disimpan di Gudang"
5106,"Negative","Selain Tensi Politik, Hal Ini Bakal Pengaruhi Ekonomi RI di 2018"
5107,"Positive","Arti Tulisan di Kursi Kondangan yang Dipakai Anak Tercantik Korea"
5108,"Negative","Harga Bawang Merah Anjlok, Petani: Dibeli Rp 7.000/Kg"
5109,"Positive","Ini 10 Kota Dengan Jaringan MRT Terbaik di Dunia"
5110,"Positive","Ini Lho Foto Jokowi Muda Saat Jadi Pengusaha Mebel"
5111,"Negative","Harga Daging Ayam Masih Tinggi, Sentuh Rp 45 Ribu/Ekor"
5112,"Positive","Investasi di 13 Kawasan Industri Ditarget Rp 250 T Tahun Ini"
5113,"Positive","Proses Panjang Pembangunan Pelabuhan New Tanjung Priok"
5114,"Positive","Lion Air Grup Siap Terbang dari Bandara Kertajati"
5115,"Negative","Ini Dia yang Paling Banyak Beri Utang ke Pemerintah RI"
5116,"Negative","UMP Naik dan Banyaknya Ritel Tutup Buat Pengusaha Dilema"
5117,"Positive","Ditjen Pajak Cari Cara Pajaki Pelaku Usaha di Medsos"
5118,"Positive","Melongok Pabrik Komponen Pesawat Asal AS di Pulau Bintan"
5119,"Positive","Pengemudi Ojek Online di Surabaya Bisa Punya Rumah Cicilan Rp 50.000/Hari"
5120,"Positive","Tenggelamnya Matahari di Taman Anggrek, Pesta Diskon Buat Shopaholic"
5121,"Positive","Ini Penampakan Bandara dengan Mal Pertama di Indonesia"
5122,"Negative","Masih Ada Sopir Taksi Online yang Tolak Uji KIR Hingga Pasang Stiker"
5123,"Positive","Serba-serbi Rencana Kereta Cepat Jokowi yang Jadi Perbincangan Dunia"
5124,"Positive","Kunjungi Pasar di Rorotan, Sandi Jadi Sasaran Selfie"
5125,"Positive","Ini Dia Orang Tajir se-Indonesia 2013 Versi Forbes (2)"
5126,"Positive","4 Jenis Produk Bisnis Online Berprospek Cerah"
5127,"Positive","Sandiaga Uno Bertemu Ratu Prabu Bahas LRT Jakarta Rp 320 T"
5128,"Positive","Proses Panjang Pembangunan Pelabuhan New Tanjung Priok"
5129,"Positive","Ingin Hidup Lebih Baik? Pindah ke Negara Ini (2)"
5130,"Negative","Dicap 'Gagal Bayar' Utang, Saham Tambang Bakrie Langsung Anjlok"
5131,"Negative","Ancaman Jokowi dan Menteri ke Spekulan Beras"
5132,"Positive","Ini Visi dan Misi Jokowi-JK di Bidang Ekonomi"
5133,"Positive","Alasan di Balik Edi Sukmoro Diangkat Lagi Jadi Dirut KAI"
5134,"Positive","Bos Bukalapak Ungkap Besarnya Potensi Pajak Penjual di FB dan IG"
5135,"Positive","Railink Bakal Integrasikan Akses Penumpang KRL dan Kereta Bandara"
5136,"Positive","Jokowi Bikin Padat Karya Cash, Ini Kata IMF"
5137,"Negative","Tahun Lalu Bisa Jual 15 Parsel/Hari, Pedagang: Sekarang Cuma 7/Hari"
